date,odometer,fuel_price,fuel,total_fuel_price
2023-05-13 08:47:00,400.0,1.397,24.83,34.69
2023-05-24 08:47:00,700.0,1.429,30.28,43.27
2023-06-01 08:47:00,1094.0,1.429,29.88,42.7
2023-06-14 08:47:00,1490.0,1.399,29.16,40.79
2023-06-20 08:47:00,1903.0,1.389,30.08,41.78
2023-06-28 08:47:00,2328.0,1.459,13.71,20.0
2023-07-05 08:47:00,2513.0,1.568,29.82,46.76
2023-07-08 08:47:00,2887.0,1.469,20.49,30.1
2023-07-09 08:47:00,2958.0,1.359,12.76,17.34
2023-07-19 08:47:00,3415.0,1.379,33.4,46.06
2023-08-05 08:47:00,3852.0,1.369,30.27,41.44
2023-08-05 08:47:00,4245.0,1.512,28.34,42.85
2023-08-29 08:47:00,4552.0,1.429,21.34,30.49
2023-09-10 08:47:00,4872.0,1.459,24.13,35.21
2023-09-17 08:47:00,5270.0,1.499,30.0,44.97
2023-10-03 08:47:00,5711.0,1.519,33.65,51.11
2023-10-08 08:47:00,5984.0,1.479,20.85,30.84
2023-10-21 08:47:00,6365.0,1.467,30.29,44.44
2023-11-01 08:47:00,6738.0,1.559,29.22,45.55
2023-11-12 08:47:00,7002.0,1.439,22.69,32.65
2023-11-23 08:47:00,7376.0,1.527,28.36,43.31
2023-12-03 08:47:00,7581.0,1.407,20.4,28.7
2023-12-13 08:47:00,7947.0,1.499,30.1,45.12
2024-01-07 08:47:00,8534.0,1.359,27.8,37.78
2024-01-14 08:47:00,8749.0,1.339,18.87,25.27
2024-02-11 08:47:00,9061.0,1.349,26.23,35.38
2024-02-25 08:47:00,9432.0,1.379,26.35,36.34
2024-03-09 08:47:00,9793.0,1.469,28.31,41.59
2024-03-14 08:47:00,10184.0,1.449,30.25,43.83
2024-04-03 08:47:00,10567.0,1.446,29.0,41.93
2024-04-14 08:47:00,10935.0,1.419,29.22,41.46
2024-04-27 08:47:00,11476.0,1.489,29.25,43.55
2024-05-08 08:47:00,11892.0,1.477,31.78,46.94
2024-05-19 08:47:00,12338.0,1.459,30.33,44.25
2024-05-31 08:47:00,12754.0,1.439,6.95,10.0
2024-06-10 08:47:00,13140.0,1.429,30.59,43.71
2024-06-21 08:47:00,13583.0,1.459,31.67,46.21
2024-07-01 08:47:00,13932.0,1.387,24.9,34.54
